,0
0,TO
1,ALL
2,INTERESTED
3,CAN
4,NOT
5,GET
6,VERIFIED
7,ON
8,TWITTER
9,BEEN
10,TRYING
11,FOR
12,WHAT
13,A
14,BEAUTIFUL
15,PERSON
16,SO
17,SAD
18,IT
19,EVEN
20,HAD
21,TO
22,BE
23,A
24,CHOSE
25,GOD
26,BLESShttps
27,FreeJoeExotic
28,tigerking
29,JOE
30,IS
31,STILL
32,IN
33,QUARENTINE
34,THERE
35,ARE
36,NOT
37,CASES
38,THERE
39,FOR
40,EVERYONE
41,WHO
42,HAS
43,THIS
44,ILLNESS
45,AND
46,THAT
47,YOU
48,ALL
49,RECOVER
50,SOON
51,FOR
52,ALL
53,THE
54,SOULS
55,WE
56,HAVE
57,LOST
58,IN
59,THE
60,WORLD
61,DUE
62,TO
63,THIS
64,JOE
65,SENDS
66,HIS
67,AND
68,THANKS
69,HE
70,WILL
71,SOON
72,BE
73,BACK
74,TO
75,ANSWER
76,YOU
77,ALL
78,SOON
79,ai
80,quitting
81,Dear
82,friends
83,voters
84,supporters
85,You
86,people
87,today
88,story_fbid=993157810853022
89,id=100004764370656
90,Come
91,onhttps
92,Yes
93,come
94,every
95,one
96,expecting
97,Party
98,Packards
99,201
100,NW
101,10th
102,St
103,Oklahoma
104,City
105,Oklahoma
106,73103
107,At
108,7pm
109,…https
110,Here
111,ya
112,go
113,No
114,voters
115,788
116,running
117,polling
118,places
119,Let
120,Go
121,vote
122,joe_exotic
123,today
124,As
125,well
126,YES
127,question
128,788
129,OkLeg
130,Oklahoma
131,peeps
132,Japan
133,vote
134,please
135,go
136,vote
137,yes
138,788
139,vote
140,joe_exotic
141,governor
142,joe_exotic
143,Fix
144,shit
145,bay
146,ba
147,They
148,law
149,Go
150,back
151,make
152,Do
153,forget
154,bring
155,drivers
156,license
157,state
158,issued
159,ID
160,go
161,vote
162,give
163,excuse
164,give
165,ballot
166,Vote
167,Joe
168,Exotic
169,Governor
170,Vote
171,yes
172,788
173,GO
174,VOTE
175,JOE
176,EXOTIC
177,AND
178,YES
179,SQ788
180,GO
181,VOTE
182,YOUR
183,RIGHTS
184,DEPEND
185,ON
186,IT
187,Vote
188,joe
189,You
190,libertarian
191,til
192,vote
193,Tommarow
194,Connie
195,Johnson
196,best
197,Democrat
198,choice
199,Republicas
200,choices
201,hate
202,SQ788
203,crookshttps
204,Tomorrow
205,vote
206,Yes
207,SQ788
208,Libertarians
209,vote
210,Joe
211,Exotic
212,governor
213,Democrats
214,vote
215,Connie
216,Johnson
217,governor
218,Republicans
219,You
220,screrwed
221,must
222,waste
223,vote
224,give
225,Kevin
226,Stitt
227,Pride
228,great
229,vote
230,fixthisshit
231,On
232,meet
233,press
234,morning
235,Todd
236,Lamb
237,SQ788
238,fixthisshit
239,He
240,coolest
241,campaign
242,signs
243,Unique
244,hell
245,Not
246,block
247,red
248,letters
249,voteforjoehttps
250,Hard
251,day
252,In
253,Ontario
254,'ve
255,elected
256,someone
257,work
258,ForThePeople
259,fordnation
260,Very
261,soon
262,Oklahomans
263,choice
264,elect
265,someone
266,work
267,That
268,person
269,joe_exotic
270,He
271,going
272,FixThisShit
273,people
274,Oklahoma
275,uspoli
276,3
277,days
278,decide
279,future
280,Got
281,support
282,going
283,pride
284,put
285,200
286,yard
287,signs
288,It
289,GOP
290,They
291,would
292,let
293,either.http
294,story=38408836
295,catId=112032
296,Joe
297,Let
298,FixThisShit
299,So
300,running
301,ads
302,vote
303,SQ788
304,confuse
305,people
306,dont
307,know
308,Vote
309,yes
310,take
311,rights
312,back
313,Early
314,voters
315,messaging
316,voting
317,fixthisshit
318,Told
319,everyone
320,know
321,joe_exotic
322,right
323,choice
324,fixthisshit
325,Joe
326,Governorhttps
327,Just
328,everyday
329,hero
330,fixthisshit
331,5
332,days
333,go
334,vote
335,legalization
336,medical
337,marijuana
338,vote
339,Joe
340,Exotic
341,Oklahoma
342,governor
343,fixthisshit
344,joe_exotic
345,SPOTTED
346,Only
347,6
348,days
349,vote
350,legal
351,marijuana
352,future
353,governor
354,joe_exotic
355,You
356,ever
357,wonder
358,people
359,care
360,welfare
361,dogs
362,cats
363,cows
364,chickens
365,elderly
366,kids
367,homeless
368,people
369,Because
370,make
371,money
372,heart
373,stings
374,animals
375,sell
376,TV
377,ads
378,raise
379,money
380,animals
381,We
382,lost
383,morale
384,fixthisshit
385,BULLSHIT
386,VOTE
387,YEShttps
388,Oklahoma
389,made
390,felony
391,hire
392,illegal
393,immigrant
394,Strike
395,law
396,downhttps
397,yes
398,joe
399,preach
400,em
401,They
402,criminals
403,Then
404,let
405,kick
406,everyone
407,commits
408,crime
409,This
410,country
411,founded
412,immigrants
413,Why
414,forget
415,easy
416,But
417,kicking
418,immigrants
419,They
420,got
421,way
422,fucking
423,toll
424,roads
425,.65
426,cents
427,booth
428,No
429,pennies
430,3
431,quarters
432,They
433,make
434,dime
435,every
436,car
437,fixthisshit
438,Interesting
439,read
440,debatehttp
441,75
442,reporters
443,debate
444,today
445,would
446,think
447,something
448,would
449,online
450,And
451,maybe
452,The
453,debate
454,Shawnee
455,today
456,75
457,reporters
458,think
459,put
460,truth
461,fixthisshit
462,That
463,answer
464,certainly
465,got
466,room
467,attention
468,2
469,weeks
470,gon
471,na
472,rock
473,election
474,smoke
475,weed
476,No
477,mikey
478,bullshithttps
479,Thank
480,youhttps
481,Let
482,save
483,kids
484,Reminder
485,vote
486,joe_exotic
487,Does
488,3
489,million
490,campaign
491,fund
492,mean
493,people
494,like
495,sell
496,special
497,interest
