,0
0,TO
1,ALL
2,INTERESTED
3,I
4,CAN
5,NOT
6,GET
7,VERIFIED
8,ON
9,TWITTER
10,BEEN
11,TRYING
12,FOR
13,WHAT
14,A
15,BEAUTIFUL
16,PERSON
17,SO
18,SAD
19,IT
20,EVEN
21,HAD
22,TO
23,BE
24,A
25,CHOSE
26,GOD
27,BLESShttps
28,…
29,#
30,FreeJoeExotic
31,#
32,tigerking
33,JOE
34,IS
35,STILL
36,IN
37,QUARENTINE
38,THERE
39,ARE
40,NOT
41,CASES
42,THERE
43,FOR
44,EVERYONE
45,WHO
46,HAS
47,THIS
48,ILLNESS
49,AND
50,THAT
51,YOU
52,ALL
53,RECOVER
54,SOON
55,FOR
56,ALL
57,THE
58,SOULS
59,WE
60,HAVE
61,LOST
62,IN
63,THE
64,WORLD
65,DUE
66,TO
67,THIS
68,JOE
69,SENDS
70,HIS
71,AND
72,THANKS
73,HE
74,WILL
75,SOON
76,BE
77,BACK
78,TO
79,ANSWER
80,YOU
81,ALL
82,SOON
83,#
84,I
85,ai
86,n't
87,quitting
88,…
89,Dear
90,friends
91,voters
92,and
93,supporters
94,You
95,the
96,people
97,won
98,today
99,?
100,story_fbid=993157810853022
101,id=100004764370656
102,…
103,Come
104,onhttps
105,…
106,Yes
107,come
108,every
109,one
110,they
111,are
112,expecting
113,you
114,all
115,…
116,Party
117,at
118,Packards
119,201
120,NW
121,10th
122,St
123,Oklahoma
124,City
125,Oklahoma
126,73103
127,At
128,7pm
129,…https
130,…
131,Here
132,ya
133,go
134,No
135,voters
136,for
137,788
138,running
139,the
140,polling
141,places
142,…
143,Let
144,'s
145,do
146,Go
147,vote
148,for
149,@
150,joe_exotic
151,today
152,!
153,!
154,!
155,!
156,!
157,As
158,well
159,as
160,YES
161,on
162,question
163,788
164,!
165,!
166,!
167,#
168,OkLeg
169,Oklahoma
170,peeps
171,!
172,I
173,’
174,m
175,in
176,Japan
177,so
178,I
179,can
180,’
181,t
182,vote
183,but
184,please
185,for
186,me
187,go
188,vote
189,yes
190,on
191,788
192,and
193,vote
194,@
195,joe_exotic
196,for
197,governor
198,@
199,joe_exotic
200,Fix
201,this
202,shit
203,bay
204,ba
205,They
206,have
207,to
208,by
209,law
210,Go
211,back
212,and
213,make
214,them
215,…
216,Do
217,n't
218,forget
219,to
220,bring
221,your
222,drivers
223,license
224,or
225,state
226,issued
227,ID
228,when
229,you
230,go
231,to
232,vote
233,do
234,n't
235,give
236,them
237,an
238,excuse
239,to
240,not
241,give
242,you
243,a
244,ballot
245,!
246,Vote
247,Joe
248,Exotic
249,for
250,Governor
251,and
252,Vote
253,yes
254,on
255,788
256,!
257,…
258,GO
259,VOTE
260,JOE
261,EXOTIC
262,AND
263,YES
264,SQ788
265,GO
266,VOTE
267,YOUR
268,RIGHTS
269,DEPEND
270,ON
271,IT
272,Vote
273,joe
274,!
275,…
276,You
277,have
278,to
279,be
280,a
281,libertarian
282,til
283,vote
284,for
285,me
286,Tommarow
287,Connie
288,Johnson
289,is
290,the
291,best
292,Democrat
293,choice
294,Republicas
295,choices
296,all
297,hate
298,SQ788
299,and
300,crookshttps
301,…
302,Tomorrow
303,vote
304,...
305,..
306,Yes
307,to
308,SQ788
309,Libertarians
310,vote
311,Joe
312,Exotic
313,for
314,governor
315,Democrats
316,vote
317,Connie
318,Johnson
319,for
320,governor
321,Republicans
322,...
323,You
324,are
325,just
326,screrwed
327,but
328,if
329,you
330,must
331,waste
332,that
333,vote
334,give
335,it
336,to
337,Kevin
338,Stitt
339,Pride
340,was
341,great
342,vote
343,#
344,fixthisshit
345,On
346,meet
347,the
348,press
349,this
350,morning
351,Todd
352,Lamb
353,is
354,against
355,SQ788
356,#
357,fixthisshit
358,He
359,has
360,the
361,coolest
362,campaign
363,signs
364,Unique
365,as
366,hell
367,Not
368,block
369,red
370,letters
371,#
372,voteforjoehttps
373,…
374,Hard
375,day
376,In
377,Ontario
378,we
379,'ve
380,elected
381,someone
382,who
383,will
384,work
385,#
386,ForThePeople
387,@
388,fordnation
389,Very
390,soon
391,Oklahomans
392,will
393,have
394,the
395,choice
396,to
397,elect
398,someone
399,who
400,will
401,work
402,for
403,them
404,That
405,person
406,is
407,@
408,joe_exotic
409,He
410,'s
411,going
412,to
413,#
414,FixThisShit
415,for
416,the
417,people
418,of
419,Oklahoma
420,#
421,uspoli
422,#
423,3
424,days
425,until
426,you
427,decide
428,your
429,future
430,Got
431,support
432,going
433,at
434,pride
435,and
436,put
437,out
438,over
439,200
440,yard
441,signs
442,It
443,'s
444,not
445,just
446,the
447,GOP
448,They
449,would
450,n't
451,let
452,me
453,in
454,either.http
455,?
456,story=38408836
457,catId=112032
458,…
459,I
460,with
461,you
462,Joe
463,!
464,!
465,!
466,Let
467,'s
468,#
469,FixThisShit
470,So
471,they
472,are
473,running
474,ads
475,to
476,vote
477,no
478,for
479,SQ788
480,just
481,to
482,confuse
483,people
484,that
485,dont
486,know
487,Vote
488,yes
489,and
490,take
491,your
492,rights
493,back
494,Early
495,voters
496,are
497,messaging
498,that
499,they
500,are
501,voting
502,to
503,#
504,fixthisshit
505,Told
506,everyone
507,I
508,know
509,that
510,@
511,joe_exotic
512,is
513,the
514,right
515,choice
516,#
517,fixthisshit
518,Joe
519,for
520,Governorhttps
521,…
522,Just
523,an
524,everyday
525,hero
526,#
527,fixthisshit
528,5
529,more
530,days
531,to
532,go
533,vote
534,for
535,legalization
536,of
537,medical
538,marijuana
539,and
540,vote
541,Joe
542,Exotic
543,for
544,Oklahoma
